sent0,sent1,label
She fell down the stairs and broke her knee.,She fell up the stairs and broke her knee.,1
I got ready for bed so I drank a cup of coffee.,I got ready for bed so I washed my face.,0
the man fed the snake a mouse.,the man fed the mouse a snake.,1
A neighbor is a person who lives far from you.,A neighbor is a person who lives next to you.,0
the pharmacy sell medications.,the pharmacy sell pets.,1
The sky is blue.,The sky is orange.,1
my brother waters his phone every morning.,my brother waters his flowers every morning.,0
she rides the public bus to school.,she drives the public bus to school.,1
the driver brakes when seeing the red signal.,the driver accelerates when seeing the red signal.,1
the snake runs on his feet.,the snake crawls on his body.,0
the moon is falling from the sky.,A moon didn't fall from the sky.,0
"if you don't brush your teeth, you get dark.","if you don't brush your teeth, you will get Oral Diseases.",0
my sister walks to work today.,my sister flies to work today.,1
Eating pizza requires a pizza.,Eating pizza requires a masters degree.,1
He put a gorilla into a box.,He put old clothes into a box.,0
My professor had us write an essay on The National Monument.,My son had us write an essay on The National Monument.,1
Artificial flowers in my flower vase wilts soon.,Fresh flowers in my flower vase wilts soon.,0
I play games on my shoes.,I play games on my phone.,0
He walked a dog on a leash in the park.,He walked a rock in the park.,1
A cat eats a building.,A cat eats a fish.,0
grass grows in the water.,grass grows on the ground.,0
The school is for learning.,the store is for learning.,1
she cooked mosquitos and ants for dinner.,she cooked pasta and sushi for dinner.,0
"At the restaurant, police came for taking orders.","At the restaurant, a waiter came for taking orders.",0
dogs are social animals who prefer a solitary existence to live in a pack.,dogs are social animals who prefer life in a pack to a solitary existence.,0
baby like milk.,milk like a baby.,1
you are able to use a piece of paper as a bookmark.,you are able to use a brick as a bookmark.,1
The man is resilient.,The man is a rubber.,1
Jill received a bill from the moon.,Jill received a bill from the gas company.,0
You can sell unwanted items on Facebook.,You can sell a baby on Facebook.,1
we can touch the rainbows.,we can see the rainbows.,0
"if it doesn't rain for a long time, the earth will get very dry.","if it doesn't rain for a long time, the earth will get very wet.",1
The man Loves the dog.,The dog hates his hoster.,1
I hide successfully behind a tree.,I hide successfully behind a book.,1
You can send the photos by email.,You can send the book by email.,1
The dog yelled at the man.,The man yelled at the dog.,0
An x-ray can be used to see people without clothes.,An x-ray can be used to check the condition of a person's bones.,0
He drives cupboard well.,He drives bike well.,0
Tacos was Johnny's favorite drink.,Tacos was Johnny's favorite food.,0
He ties his socks before leaving for his flight.,He ties his shoes before leaving for his flight.,0
She shaved her eyes.,She shaved her legs.,0
The snake ate the bird.,The snake ate the elephant.,1
river water run and reach the ocean finally..,Ocean water runs into the river.,1
"Sean is a hard-working guy, so he studied the whole day.","Sean is a hard-working guy, so he plays phone games the whole day.",1
A computer can work with being plugged in.,A notebook can work with being plugged in.,1
Walking is faster than driving.,Running is faster than walking.,0
The man went to jail after beating his wife.,The man went to jail after eating candy.,1
I am throwing hello.,I am saying hello.,0
There was a bird flying.,There was a boy with glasses flying on a broomstick.,1
A man is wearing pants.,A tiger is wearing pants.,1
he had a toothache so he went to a car salesman.,he had a toothache so he went to a dentist.,0
The air is tasty.,The juice is tasty.,0
fire cannot burn without oxygen.,fire can burn without oxygen.,1
All frogs can fly in the sky just like birds.,Frogs are found in ponds and swamps.,0
I saw my friend's cat dancing.,I saw my friend's car dancing.,1
you should stamp the letter before posting the letter.,you can post the letter without any stamps.,1
my sister went to the pond to fetch water.,my sister went to the desert to fetch water.,1
She returned the book to the library.,The book returned the girl to the library.,1
I have two necks.,I have a neck.,0
Soccer balls are round.,American Football balls are round.,1
salsa is blue.,salsa is red.,0
He buys a new tv every day.,He watches sports TV every day..,0
Birds make nest everyday in bedroom closets.,She put the guest coats in the bedroom closet.,0
Snowmobile drivers wear snowsuits to stay warm in the winter time.,Snowmobiles wear snowsuits to stay warm in the wintertime.,1
Something that might happen while bathing is your shirt becomes wet.,Something that might happen while bathing is your body becomes wet.,0
My boat hauls my truck.,My truck can be used for hauling equipment or a boat.,0
A hole will make a boat sink.,A hole will make a boat float.,1
He drove up the stairs to the bedroom.,He walked up the stairs to the bedroom.,0
She put a motorcycle on the table.,She put the salad on the table.,0
cats eat dog food.,cats eat special cat food.,0
Film making can be a single job in the summer.,Film making can be a stressful job in the summer.,0
He picked up his piano and played a chord.,He picked up his guitar and played a chord.,0
she puts hot grease into a cup.,she puts water into a cup.,0
The recipe takes a variety of herbs for flavor.,The pot takes a variety of herbs for flavor.,1
Mary won the race yesterday.,Mary won the race tomorrow.,1
I watered the orange juice.,I watered the plants.,0
Food gets hotter as you leave it out.,Food gets cooler as you leave it out.,0
I wear my gloves on my feet.,I wear my gloves on my hands.,0
Amy swam to Texas to see Austin.,Amy travels to Texas to see Austin.,0
Texas is hot in the summer.,Texas is snowing in the summer.,1
smoking is injurious to health.,smoking is good for health.,1
They grabbed a dinosaur from the drawer.,They grabbed a soda from the drawer.,0
Hens lay eggs.,Pigs lay eggs.,1
sunlight comes from the sun.,the sun comes from sunlight.,1
The bike overtake the car.,The red car went by very fast.,0
The doctor repaired the patient's broken bone.,The doctor smashed the patient's broken bone.,1
a blue painting hangs on the wall.,a blue painting is floating in air.,1
Lotion is useful for moisturizing your tea..,The lotion is useful for moisturizing your skin.,0
sitting on the barbed wire is more comfortable than sitting on a stool.,sitting on a sofa is more comfortable than sitting on a stool.,0
The whale was found in the forest.,The bear was found in the forest..,0
You must eat lots of fats and sugar to stay healthy.,You must exercise to stay healthy.,0
A diet high in sugar is mandatory.,A diet high in sugar is unhealthy.,0
the clothes are running away.,the clothes are being washed.,0
The cheetah washed up on the beach.,The whale washed up on the beach.,0
Watching sports is fun for all people.,Watching sports is fun to some people.,0
You only die once.,You die twice..,1
Broken glasses help you see better..,Glasses help you see better.,0
He answers a call on his banana.,He answers a call on his cell phone.,0
An airplane swims in the water.,An airplane flies through the air.,0
Elephants are the smallest land mammals.,Elephants are the largest land mammals.,0
He swam in the water.,He swam in petrol.,1
I am a male.,Men are more intelligent than women.,1
She throws bananas at caretakers at the zoo all day.,He eats a banana for breakfast every day.,0
My friend started a campfire on the 4th of July.,People who start fires are pyromaniacs.,1
He put some water into a pool.,He put a dinosaur into the pool.,1
that girl is taller than that boy.,Girls are taller than boys on average.,1
Dory moves the desk with her fin.,Dory moves the desk with her arms.,0
he put a piece of plastic on the bread.,he put a piece of cheese on the bread.,0
People get killed in famines.,People get fat during famines.,1
A desalination plant in California would contribute to providing more drinkable water for that area.,Planting salt in California contributes to providing more drinkable water for that area.,1
my mother cooked the chicken.,my mother cooked the stone.,1
You can use a Hospital to sleep while away from home.,You can use a hotel to sleep while away from home.,0
MY SISTER PREPARE A SANDWICHES WITH CHALKS..,MY SISTER PREPARE A SANDWICHES WITH BREAD.,0
Puja almost works 12 to 15 hours every day.,Puja almost works 25 to 30 hours every day.,1
"Due to global warming, the temperature becomes higher.",Due to global warming the temperature becomes lower.,1
He parked his bike in his house.,He parked his train in his house.,1
He waited for his bus at the bus stop.,He waited for his flight at the bus stop.,1
Widow is an opening in the wall or roof of a building or vehicle.,Window is an opening in the wall or roof of a building or vehicle.,0
Children should eat their parents.,Children should be obedient to their parents.,0
there is some water on the lawn.,there is some water eating on the lawn.,1
a man has two hands.,a duck has two hands.,1
The doctor graduated from medical school.,The doctor failed medical school.,1
The elephant is gray.,The elephant is pink.,1
She puts clean clothes in the cabinet..,She puts dirty clothes in the cabinet.,1
He borrowed a grinder from the library.,He borrowed a book from the library.,0
he added milk to his coffee.,he added pepper to his coffee.,1
Dogs have hooves.,Horses have hooves.,0
We communicate with each other by words and gestures.,We don't communicate with each other at all.,1
he put a hat inside of his head.,he put a hat on top of his head.,0
He put all plates in the washing machine to clean.,He put all dress in the washing machine to clean.,0
You should iron your clothes before you wash them.,You should iron your clothes after you wash them.,0
he kept shoe in the fridge.,he kept chocolate in the fridge.,0
Carol turned on the potato.,Carol turned on the flashlight.,0
She got off the bus at the crossroad.,she got off the cruise ship at the crossroad.,1
he purchased lime and cement to prepare sandwiches for dinner.,he purchased bread and vegetables to prepare sandwiches for dinner.,0
shirts are clothes that people wear.,shirts are clothes that birds wear.,1
He wears an umbrella on his head.,He wears a hat on his head.,0
The sun is very cold.,The sun is very hot.,0
he carried a whale in his car.,he carried two people in his car.,0
He went to fishing in the Jeep to the desert.,He went for fishing in the boat to the lake.,0
the ripe apples taste spicy.,the ripe apples taste sweet.,0
the two-years-old baby drove her father daycare.,the father drove his two-years-old baby to daycare.,0
I can drink bleach instead of water.,I can't drink bleach instead of water.,0
She went for a run on the trail.,She went for a run on the Sun.,1
the park is a nice place to jog.,the room is a nice place to jog.,1
The black owl is red.,The black owl is large.,0
"Yesterday, a dinosaur chased me.",Dinosaurs are extinct.,0
My son placed his football on his dresser.,My son placed his school locker on his dresser.,1
the farmers live on a cloud.,the farmers live on a farm.,0
Wallets are typically used to hold cash and credit cards.,Wallets are typically used to hold spider eggs and denim.,1
Janitors often clean bathrooms for their company.,Janitors create financial models for their company.,1
She took a live giraffe from the shelf.,She took a book from the shelf.,0
She put a child into the oven.,She put a cake into the oven.,0
She cut down the large oak tree with a chainsaw.,She cut down the grass with a chainsaw.,1
he ran on the track.,he swam on the track.,1
This girl made a horrible time-lapse.,This girl made a very nice time-lapse.,0
the little girl howled at the wolf.,A wolf howled at the little girl.,0
He wrote a book by breaking his pen.,He wrote a book using his hands.,0
I oiled the floors.,I scrubbed the floors.,0
He turned on the TV with the VCR.,He turned on the TV with the remote.,0
the man put on his airplane.,the man put on his pants.,0
The woman dyes her hair every six weeks at the salon.,The woman dyes her feet every six weeks at the salon.,1
"if you break the law, you will be punished.","if you break the law, you will receive a reward.",1
The Pokemon caught Ash.,Ash caught all the Pokemon.,0
the person was connected to the mixing console.,the microphone was connected to the mixing console.,0
I use grass to cut my weed whacker.,I use a weed whacker to cut my grass.,0
He buy a house.,He buy a planet.,1
A person can sleep.,A fan can sleep.,1
one hundred people enter in the car.,Two people enter in the car.,0
I ride a car on the ocean.,I want to ride a car on the highway.,0
You can ride the subway in the city.,You can ride the subway in the country.,1
She put a cat in the cup.,She poured juice into the glass.,0
He used the mop to clean the carpet.,He used the vacuum to clean the carpet.,0
the mobile phone can be used to contact with other person.,the mobile phone is one of the food.,1
Houses are found in lakes.,Tim painted his house yesterday.,0
A blind man still has many senses.,A dead man still has many senses.,1
Put the baby in the driver seat.,Put the baby in the car seat.,0
He uses a computer for data typing work.,He uses dumbbells for data typing work.,1
it is safe to touch liquid nitrogen.,it is dangerous to touch liquid nitrogen.,0
"The ant stepped on the child, which killed it.","The child stepped on the ant, which killed it.",0
He opened a can of worms with a can opener.,He opened a can opener with a can opener.,1
James put the babies in the dog house.,JAMES PUT THE PUPPIES IN THE DOG HOUSE.,0
he put ice in the freezer.,he put a cat in the freezer.,1
The elephant jumped into the car.,The dog jumped into the car.,0
crackhead does not take drugs.,crackhead is a drug addict.,0
Leena daily eats two bananas which are good for health.,Leena eats almost 1000 bananas daily as his morning breakfast.,1
An electrician wires houses.,An electrician generates electricity.,1
he was flying to Hawaii.,he was swimming in Hawaii.,1
scissors are used to cut through paper.,scissors are used to cut through rivers.,1
A sandwich eats me.,I ate a nice sandwich.,0
Daniel performed woefully behind others because he's the most intelligent and brilliant in his class.,Daniel aced his examination papers ahead of others because he's the most intelligent and brilliant in the class..,0
The Management People were happy hearing the Protest news.,The workers protested against the management People.,0
She put a lipstick in her pocket.,She put a pig in her pocket.,1
The cow went to college to study art.,The man went to college to study art.,0
Asia is part of Dubai.,Dubai is located in Asia.,0
She takes a bath after wearing her running shoes.,She takes bath after removing her running shoes.,0
A FISH LIVES IN WATER.,A FISH WALKS IN THE STREET.,1
surveys have been known to harm children.,surveys are great to make quick money.,0
Women are usually larger than men.,Men are usually larger than women.,0
a ball is for dancing at.,dinner is for dancing at.,1
The carpenters only uses the best wood.,The best wood is made out of metal.,1
Roses are blue and violets are red.,Roses are red and violets are blue.,0
Australia is known for its unique animals like the kangaroo.,The kangaroos are common to every continent.,1
paramedics just arrived at the accident scene to rescue the victims.,dancers just arrived at the accident scene to rescue the victims.,1
He made a turkey sandwich.,Sandwich made a turkey.,1
My father can take a high jump up to 200m.,My father can take a high jump up to 2m.,0
Heaven is nice.,Heaven is horrible.,1
She went to the museum last weekend.,She went to the museum next weekend.,1
I had dinner with my friends yesterday.,I was on date with lion yesterday.,1
My mom always cuts my sister's hair.,My mom always cuts my fish's hair.,1
It is OK to take hot things out of the oven without using an oven mitten.,You should never take anything hot out of the oven without an oven mitten.,0
He put the key in the lock.,He put a pony in the lock.,1
Banks lend money without any interest.,Banks lend money on interest.,0
He drinks milk in breakfast.,He drinks white glue in breakfast.,1
Peter is sleeping towards the bus stop.,Peter is running towards the bus stop.,0
The principal scolded the teachers.,The teachers scolded the principal.,1
He put on a shirt.,He put on a bike.,1
She put the papers into the filing cabinet.,She put the filing cabinet into the papers.,1
My bird is about forty feet tall.,My bird is about a foot tall.,0
No one drinks milk because you cannot absorb nutrients from it.,Many people drink milk to get nutrients from it.,0
He cut the onion with a knife.,He cut the onion with a spoon.,1
The man who flies a plane is called a conductor.,The man who flies a plane is called the captain.,0
He is wearing gloves on his hands.,He is wearing gloves on his feet.,1
Grizzly bears hate honey.,Grizzly bears love honey.,0
He left the cat in the kennel.,He left the dog in the kennel.,0
Traveling by teleporting can take quite a long time.,Traveling on foot can take quite a long time.,0
The scorpion has claws and a stinger on its tail.,The frog has claws and a stinger on its tail.,1
peoples use a handkerchief for eyes while the bike rides.,peoples use cooling glass for eyes while the bike rides.,0
Thanksgiving is in November..,Thanks for giving days starts the new year.,1
The lamp fell off the counter.,The counter fell off the lamp.,1
He can cook a whole elephant in a frying pan.,He can cook a whole chicken in a frying pan.,0
Rocks may float when placed in water.,Rocks sink when placed in water.,0
he likes to drink cold coffee.,he likes to drink motor oil.,1
The bowling ball is swimming in the pond.,The big fish are swimming in the pond.,0
He put bricks in the oven for baking.,He put the cake in the oven for baking.,0
he kept his prized horse in his pocket and had it taken care by a florist.,he kept his prized horse in a stable and had it taken care by a professional trainer.,0
"It might rain later today,  be sure to grab your breakfast before you leave.","It's might rain later today,  be sure to grab your umbrella before you leave.",0
We do not use the internet in today's generation.,Internet is very useful nowadays.,0
There are top hats in the freezer.,There are steaks in the freezer.,0
Most people sleep in a shoe.,Most people sleep in a bed.,0
Many ships are sunk when they enter the bermuda triangle.,Many ships are sunk when they enter Canada.,1
the fish is fishing.,he is fishing.,0
He put water in a cup.,He put the basketball inside a cup.,1
The last thing you do when you leave the home is to lock the door.,The last thing you do when you leave the home is curling your hair.,1
She washed the dish in the sink.,She washed the car in the sink.,1
the baby held the teddy bear.,the baby held a grizzly bear.,1
She hung a post-it note on her pin-board using a push pin.,She hung a post-it note on her pin-board using a cockroach.,1
"It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her snowsuit to work.","It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her linen suit to work.",0
He flew the airplane to Jupiter.,He flew the airplane to Europe.,0
The sky is blue.,The sky is underground.,1
Its cooler in Arizona than anywhere in the USA..,The temperature in Arizona is hotter than Michigan.,0
A graphics tablet enables VR games to be played on a computer.,A graphics tablet enables sketching on computer.,0
My sister visited art museum with her boyfriend.,My sister visited art museum with her zebra.,1
the library has only one storybook.,there are many books in the library.,0
Jack lost his giraffe.,Jack lost his wallet.,0
"Dogs can come in many different colors such as red, blue, and green.","Dogs can come in many different sizes and colors, these are called breeds.",0
She put an ice cream in the oven.,She put an ice cream in the freezer.,0
TORTOISE RUNS FASTER THAN CAT.,CAT RUNS FASTER THAN TORTOISE.,0
He put a motorcycle in his wallet.,He put a coin in his wallet.,0
Video games are fun.,Video games are not fun.,1
She was drinking from a cup.,She was drinking from a plate.,1
My car is going to the church service.,My car is going to be fixed.,0
She was interviewed after she got the offer.,She was interviewed before she got the offer.,0
"if he is retarded,  he will pass the examination.","if he is brilliant,  he will pass the examination.",0
we drove our car for 40 miles before having to stop for an oil refill.,we drove our car for 40000 miles before having to stop for an oil refill.,1
The woman had her hair cut at the hair salon.,The woman had her hair cut at the hardware store.,1
You are likely to find Rice bags in shoe shops.,You are likely to find sandals in a shoe shop.,0
She came off walking across the Pacific ocean.,She came off sailing across the Pacific ocean.,0
A rainbow is a meteorological phenomenon.,A rainbow can appear on the ground.,1
Sheep do not fly.,Birds do not fly.,1
she threw the football to the batter.,she threw the softball to the batter.,0
You are unlikely to ever find a book in the library.,You are likely to find a book in a library.,0
He likes to eat pizza.,He put a snake on pizza.,1
I sliced the strong meat with my Kitchen spoon.,I sliced the strong meat with my Kitchen Knife.,0
The giraffe likes to ride  bicycle.,The little boy likes to ride bicycle.,0
She started a fire in the fireplace.,She started a fire in the fridge.,1
School is where animals go to dance.,School is where students go to study.,0
Drinking beers makes the girl become an alien.,Drinking beers makes the girl drunk.,0
if you want to have a pee then you should go to the toilet.,if you want to have a pear then you should go to the toilet.,1
Colgate is a brand of beer.,Colgate is a brand of toothpaste.,0
She made a clown make a shirt.,She made a shirt for a clown.,0
"For Lunch, I made an armadillo sandwich for my husband.","For lunch, I made a turkey sandwich for my husband.",0
I wore pants to work.,I wore a notebook to work.,1
A new cars are expensive.,An old car is expensive.,1
"if you want fresh fruits and vegetables, you should grow them.","if you want fresh fruits and vegetables, you should destroy them.",1
I want a clean house.,I want a dirty house.,1
Cheetahs can run faster than cats.,Cat runs faster than a cheetah.,1
Many mammals have fingerprints.,All mammals have fingerprints.,1
"If it had rained, you would have gotten wet.","If it is a sunny day, you would have gotten wet.",1
she ran toward the dangerous-looking man in the alley.,she ran away from the dangerous-looking man in the alley.,0
Me and Bob played cards last night.,Cats played cards last night.,1
Leafs are useless.,Leafs help plants absorb nutrition.,0
some people's favorite place is the zoo.,you can go swimming and fishing at a zoo.,1
Elephants life at the north-pole.,Tigers live in the jungle.,0
I decided to pack my microwave into my suitcase.,I am currently packing for my vacation.,0
Doctors do not have to study too much.,"To become a doctor, it is important to study the course medicine.",0
A brave dog saved a drowning child this morning at Zion Beach!.,A brave cat saved a drowning child this morning at Zion Beach!.,1
He put a giraffe in the pantry.,He put a can of beans in the pantry.,0
"It was very hot,  so she put on her swimsuit and then ran and jumped into the pool.","It was very hot,  so she put on her snowsuit and then ran and jumped into the pool.",1
I close my eyes to drive safely.,I drive my car safely by following traffic rules.,0
my boyfriend drinks orange juice after breakfast every day.,my boyfriend drinks diesel after breakfast every day.,1
I and the goats had a nice barbecue yesterday.,I and John had a barbecue yesterday.,0
There are whales in a big city.,There are buildings in a big city.,0
she put the ice cream in the oven.,she put the ice cream in the freezer.,0
The vegetarian ate a big dinner of fruits and vegetables from the garden.,The vegetarian ate a big dinner of horse meat and vegetables from the garden.,1
London goes in this bus.,This bus may go to London.,0
Alcoholic drinks are often served at parties.,Alcoholic drinks are served in bowls..,1
he went up the hill.,he went up a valley.,1
the fire is warm.,the fire is cold.,1
"If you do your job well, you will get paid regardless.","If you do your job badly, you will get paid regardless.",1
You are likely to find chocolate in the wild.,You are likely to find a crocodile in the wild.,0
an air-condition is used to cool the room.,a bulb is used to cool the room.,1
I just invest 1 million in mutual funds.,I just deposited ten tigers in the banks and will get doubled in six years.,1
Going to the movies is fun for the whole family.,Going to the movie is fun for animals.,1
My neighbor is a fish.,Fish live in the ocean.,0
A man walked from his home to the grocery store.,A man walked from his home to the moon.,1
people often use alarms to remind them of important events.,people often use flowers to remind them of important events.,1
The girl saw the red car.,The blind girl saw the red car.,1
Apples can only be found in orchards.,Apples are found in orchards around the world.,0
a turkey is a pig.,a turkey is a bird.,0
Sound is always faster than light.,Sound is faster than people.,0
The woman eats a wooden sandwich.,The woman eats tuna sandwich.,0
She throws a feather in the hat.,She throws a stove in the hat.,1
the neighbor park their car in the middle of the street.,the neighbor park their car in the parking lot.,0
I put many elevators in the car.,I put many suitcases in the car.,0
The man at the beach.,The man ate food on the beach.,0
Humans do not eat food.,Humans eat food.,0
It is beautiful to stay hydrated.,It is important to stay hydrated.,0
She used a match to make the campfire.,She used water to make the campfire.,1
cars are the only way to get around.,cars are a useful mode of transportation.,0
The soccer player kicked a football into the goal..,A pitcher throws a baseball.,0
The groom threw the bride's garter to the groomsmen..,The groom threw the bridal party at the bride.,1
fishing nets are useful for covering a window.,curtains are useful for covering a window.,0
The house shoved him.,He shoved the girl.,0
You will probably find a front room in a condominium.,You will probably find a front condo in a room.,1
The book club did not accept members under the age of forty.,The primary school did not accept members under the age of forty.,1
The farm is in carpet.,The farm is in Kansas.,0
Billy kicked the ball into the goal.,Billy kicked the frisbee into the goal.,1
she bought two cinema tickets.,she bought two supermarket tickets.,1
HE PUT A CHICKEN IN THE OVEN.,HE PUT A CUPBOARD IN THE OVEN.,1
the boy fed the fish with a ball.,the boy fed the fish with fish food.,0
she keeps milk inside the fridge.,she keeps the camel inside the fridge.,1
The boy kicked the house.,The boy kicked the ball.,0
Spatulas are great for both hiking and fishing.,Spatulas are great for both cooking and baking.,0
the red color is one of the simplest colors.,"there are only 3 colors, red, yellow and blue.",1
my brother today speak to me.,my brother speaks to the house.,1
He put a pillow on the bed.,he put an airplane on the bed.,1
I hike on surfboards.,I hike on trails.,0
He was in the backyard in Minnesota grilling some burgers.,He was in the backyard in Minnesota growing some burgers.,1
Smartphone is a device used for communication.,Smartphone is a device used for transportation.,1
He dried himself with a train ticket.,He dried himself with a towel.,0
Milk contains alcohol.,Beer contains alcohol.,0
Books are piglets with flowers in their hair.,Books are pages with ink printed on them.,0
She strictly does not allow food into her house.,She strictly does not allow alcohol into her house.,0
My uncle surfs on the weekends.,My uncle runs over the waters on weekends.,1
A fish was walking on the roadside.,A cat was walking on the roadside.,0
Pens are for writing.,Pens are for painting.,1
"After driving for fifteen minutes, he turned on the ignition.",He turned on the ignition and drove fast for the next fifteen minutes.,0
A television is something that you watch daily.,A television is something that you seat on daily.,1
He took the giraffe to the store.,He took the fruit basket to the store.,0
She turned in her homework five years after it was due and got full credit.,She turned in her homework before it was due and got full credit.,0
she put a horse in the washing machine.,she put her cloths in the washing machine.,0
Basketball is played within two teams.,Basketball is played with pianos.,1
He closed the blinds because it was too bright.,He closed the blinds because it was too dark.,1
Plants need sunlight.,Plants need motor oil.,1
He put a shark into the fridge.,He put the chicken on the fridge.,0
she went to buy a toothbrush at a petty shop.,she went to buy a toothbrush at a flower shop.,1
The cat drank milk on the plate.,The cat drank milk in the duck.,1
Reading to your children can make them smarter.,Reading to your children can make them stronger.,1
She put her shoes on the stove in the morning.,She put her shoes on in the morning.,0
She taught Spanish to her lilac bush.,She taught Spanish to her children.,0
He placed the table on top of the pencil.,He placed the pencil on top of the table..,0
moms love their children.,grandparents don't love their children.,1
Her mom braided her hair for school.,Her mom messed up her daughter's hair.,1
My window speaks very well.,My cockatoo speaks very well.,0
Jumping is very important..,Reading is very important.,0
The kid took her mother to the school.,The mother took her kid to the school.,0
Hats can protect you from an accident.,Hats can protect from harsh sunlight..,0
he hit the ball over the flag.,he hit a helicopter over the flag.,1
I eat rocks every day for lunch.,I eat a banana every day for lunch.,0
The lizard climbed a rock.,The lizard climbed the ocean.,1
A grapefruit is bigger than a pumpkin.,A grapefruit is bigger than an orange.,0
it snows in winter.,it snows in summer.,1
I was doing my laundry at the library.,I was reading a book at the library.,0
The snake feeds on the mice that come through the alleys.,The snake sleeps on the mice that come through the alleys.,1
Friends talk to each other.,Friends have to talk to each other every day.,1
Stepping through the window is the usual way to enter a room.,Stepping through the door is the usual way to enter a room.,0
"""When she said """"Go to the store"" she meant the plane had arrived."".","When he said Go down the stairs"" he meant the stairs on the right."".",0
He broke his leg and went to get a burger.,He broke his leg and had to get a cast.,0
People take showers when they feel happy.,People take showers when they feel dirty.,0
Ripping a paper in half creates two pieces.,Ripping a paper in half creates six pieces.,1
He cut the lawn with his scissors.,He cut the lawn with his power mower.,0
Dogs require aluminum to survive.,Dogs require food to survive.,0
He combed a bookshelf because it is hairy.,He combed a bookshelf looking for a book.,0
He put turkey in oven.,There is a man in the oven.,1
The car can go the speed of 200MPH.,The car can go the speed of light.,1
He put stone into the fridge.,He put apple into the fridge.,0
books are used to watch a movie.,books are used to read and write.,0
Micheal swam across the pool.,Michael swam across the Pacific Ocean.,1
dinosaurs are alive on earth.,human are alive on earth.,0
I like to drink coffee beans in the morning.,I like to drink coffee in the morning.,0
he put a chair in the basket.,he put pepper in the basket.,0
I put my clothes in the washing machine.,I put a dumpling in the washing machine.,1
Elephant uses its trunk to drink water.,Horse uses its trunk to drink water.,1
my brother always takes mud in the morning.,my brother always has breakfast in the morning.,0
My roommate waters his cell phone every morning.,My roommate waters his flowers every morning.,0
My dog is laying on the ceiling.,My dog is laying on the floor.,0
A dog can cut down a tree.,A dog can pee on a tree.,0
we go to the disco to dance every weekend.,we go to the disco to pray every weekend.,1
I picked up a basket full of apples from the tree in the yard.,I picked up a basket full of peppers from the tree in the yard.,1
Joe asked Mary to have a date because he dislikes her.,Joe asked Mary to have a date because he likes her.,0
people like to dress well.,people like to dress nothing on the street.,1
he bought the bike from the bookstore.,He bought the book from the bookstore.,0
The kids went to the farm.,The farm went to the farm.,1
You don't need to read.,Reading is important.,0
My dad grew tomatoes in his garden.,My dad grew volleyballs in his garden.,1
i stand up in the theater.,i sit down in the theater.,0
John Legend is a very good singer..,Every good singer is a member of the family of John Legend.,1
My sister eats an entire watermelon.,My sister eats a pair of scissors.,1
the chicken laid an egg.,the horse laid an egg.,1
The angered chocolate bar is noisy.,The angered kitten is noisy.,0
Chronic pain can affect a person's mood.,Chronic pain is usually caused by a person's mood.,1
Pianos have fires inside of them.,Pianos have strings inside of them.,0
He took his dog to the park..,He took his house to the park 2 blocks away.,1
Many cancer patients lose their hand because of chemotherapy.,Many cancer patients lose their hair because of chemotherapy.,0
you are supposed to buy tickets before you get on the train.,you are supposed to buy tickets after you get off the train.,1
The sky is green..,The sky is above us.,0
honesty should be encouraged.,honesty should be banned.,1
she likes to sing loudly at the mall.,she likes to sing loudly at work.,1
The whale swam in the sky.,The whale swam in the ocean.,0
The man was tired of shoveling snow every winter.,The man was tired of shoveling marbles every winter.,1
The teacher was teaching English in the classroom.,the teacher was harvesting wheat in the classroom.,1
You are likely to find a dog in a kennel.,You are likely to find a cow in a kennel.,1
The cat used the litter box.,The lion used the litter box.,1
She sat in the chair.,She read the chair a book.,1
shields can protect ancient warriors from harm.,shields can't protect ancient warriors from harm.,1
Cigarette is good for healthy.,Cereal is good for healthy.,0
Dogs have four legs.,Human have four legs.,1
Birds were heard barking at night.,Birds were heard singing at night.,0
He melted the TV onto the bread.,He melted the cheese onto the bread.,0
The turtle swam in the ocean.,the turtle swam on the land.,1
The fish ran through the forest.,The fox ran through the forest.,0
Starfish are marine animals..,Starfish are found in outer space.,1
Canvas is used for serving food.,Canvas is used for painting.,0
he made dinner on the television.,he made dinner on the stove.,0
India backs Mars government.,India backs Sri Lankan government.,0
Hot Dogs are the most popular food item in America.,Hot Dogs are the most popular food items at baseball games.,0
HE WAS GOING TO RESTAURANT AFTER ACCIDENT.,HE WAS GOING TO HOSPITAL AFTER ACCIDENT.,0
the bread is much sweeter than candy.,Candy is much sweeter than bread.,0
many girls like the color pink.,Girls only like the color pink..,1
He inserts his thumb into the car Ignition switch.,He inserts the keys into the car Ignition switch.,0
hair gel is to be applied onto the scalp.,hair gel is to be applied onto the back.,1
My glasses help me see.,My glasses help me smell.,1
People use cars for transportation.,People use cars to fly.,1
Babies cry in their sleep a lot.,Babies cry and sleep a lot.,0
He drove his boat on the highway.,He drove his car on the highway..,0
there are 8 days in a week.,there are 7 days in a week.,0
Mike ate four sandwiches after running.,Mike ran four sandwiches.,1
The cow ate the chickens in the pasture.,The cow ate the grass in the pasture.,0
"When you go out for a jog, you are participating in the activity of jogging.","When you go out to a baseball game, you are participating in the activity of baseball.",1
i use my dog to play cricket.,i use the bat to play cricket.,0
